ISIN,Name,Symbol,Industry,Sector
NO0010081235,NEL,NEL,Energy,Alternative Energy
NO0010629108,NEXT BIOMETRICS GP,NEXT,Technology,Technology Hardware and Equipment
NO0010733082,NIDAROS SPAREBANK,NISB,Financials,Banks
NO0010360019,NORAM DRILLING,NORAM,Energy,"Oil, Gas and Coal"
NO0010856511,NORBIT,NORBT,Industrials,Electronic and Electrical Equipment
NO0010892912,NORCOD,NCOD,Consumer Staples,Food Producers
NO0013052209,NORCONSULT,NORCO,Industrials,Construction and Materials
NO0011002651,NORDHEALTH A-AKSJE,NORDH,Health Care,Health Care Providers
NO0012928805,NORDIC AQUA PART,NOAP,Consumer Staples,Food Producers
NO0003058109,NORDIC HALIBUT,NOHAL,Consumer Staples,Food Producers
NO0013162693,NORDIC MINING,NOM,Basic Materials,Industrial Metals and Mining
NO0003055501,NORDIC SEMICONDUC,NOD,Technology,Technology Hardware and Equipment
NO0011018434,NORDIC TECHNOLOGY,NTG,Industrials,General Industrials
NO0013353219,NORDIC UNMANNED,NUMND,Industrials,Electronic and Electrical Equipment
NO0012885252,NORSE ATLANTIC,NORSE,Consumer Discretionary,Travel and Leisure
NO0005052605,NORSK HYDRO,NHY,Basic Materials,Industrial Metals and Mining
NO0010941925,NORSK RENEWABLES,NSOL,Utilities,Electricity
NO0010969108,NORSK TITANIUM,NTI,Basic Materials,Industrial Metals and Mining
NO0010861115,NORSKE SKOG,NSKOG,Basic Materials,Industrial Materials
NO0010550056,NORTH ENERGY,NORTH,Energy,"Oil, Gas and Coal"
BMG6682J1036,NORTHERN OCEAN LTD,NOL,Energy,"Oil, Gas and Coal"
NO0010196140,NORWEGIAN AIR SHUT,NAS,Consumer Discretionary,Travel and Leisure
NO0010984966,NORWEGIAN BLOCK EX,NBX,Financials,Investment Banking and Brokerage Services
NO0003679102,NRC GROUP,NRC,Industrials,Construction and Materials
NO0010714785,NYKODE THERAPEUTIC,NYKD,Health Care,Pharmaceuticals and Biotechnology
NO0010865009,OBSERVE MEDICAL,OBSRV,Health Care,Medical Equipment and Services
NO0010914641,OCEAN GEOLOOP,OCEAN,Industrials,Electronic and Electrical Equipment
NO0010887565,OCEAN SUN,OSUN,Energy,Alternative Energy
BMG671801022,ODFJELL DRILLING,ODL,Energy,"Oil, Gas and Coal"
NO0003399909,ODFJELL SER. A,ODF,Industrials,Industrial Transportation
NO0003399917,ODFJELL SER. B,ODFB,Industrials,Industrial Transportation
BMG6716L1081,ODFJELL TECHNOLOGY,OTL,Energy,"Oil, Gas and Coal"
NO0010816895,OKEA,OKEA,Energy,"Oil, Gas and Coal"
MHY641771016,OKEANIS ECO TANKER,OET,Industrials,Industrial Transportation
NO0005638858,OLAV THON EIENDOMS,OLT,Real Estate,Real Estate Investment and Services
NO0010894512,OMDA,OMDA,Health Care,Health Care Providers
NO0010779341,ONCOINVENT,ONCIN,Health Care,Pharmaceuticals and Biotechnology
NO0003733800,ORKLA,ORK,Consumer Staples,Food Producers
NO0010040611,OTELLO CORPORATION,OTEC,Technology,Software and Computer Services
NO0010809783,OTOVO,OTOVO,Utilities,Electricity
NO0010564701,PANORO ENERGY,PEN,Energy,"Oil, Gas and Coal"
BMG6904D1083,PARATUS ENERGY SER,PLSV,Energy,"Oil, Gas and Coal"
NO0010397581,PARETO BANK,PARB,Financials,Banks
NO0010405640,PCI BIOTECH HOLD,PCIB,Health Care,Pharmaceuticals and Biotechnology
CY0102630916,PETROLIA,PSE,Energy,"Oil, Gas and Coal"
NO0012942525,PETRONOR E&P,PNOR,Energy,"Oil, Gas and Coal"
NO0010840507,PEXIP HOLDING,PEXIP,Technology,Software and Computer Services
NO0010395577,PHILLY SHIPYARD,PHLY,Industrials,Industrial Transportation
NO0010000045,PHOTOCURE,PHO,Health Care,Pharmaceuticals and Biotechnology
NO0010735681,PIONEER PROPERTY,PPG,Real Estate,Real Estate Investment and Services
NO0010466022,POLARIS MEDIA,POL,Consumer Discretionary,Media
NO0012535832,POLIGHT,PLT,Technology,Technology Hardware and Equipment
NO0010861990,PROSAFE,PRS,Energy,"Oil, Gas and Coal"
NO0010209331,PROTECTOR FORSIKRG,PROT,Financials,Non-life Insurance
NO0010893902,PROXIMAR SEAFOOD,PROXI,Consumer Staples,Food Producers
NL00150005Z1,PRYME,PRYME,Utilities,Waste and Disposal Services
NO0013178616,PUBLIC PROPERTY IN,PUBLI,Real Estate,Real Estate Investment and Services
DE000A2G8ZX8,PYRUM INNOVATIONS,PYRUM,Utilities,Waste and Disposal Services
CA74836K1003,QUESTERRE ENERGY,QEC,Energy,"Oil, Gas and Coal"
NO0010907389,RANA GRUBER,RANA,Basic Materials,Industrial Metals and Mining
NO0003117202,REACH SUBSEA,REACH,Energy,"Oil, Gas and Coal"
NO0010112675,REC SILICON,RECSI,Basic Materials,Chemicals
NL0015001BF4,REFUELS,REFL,Utilities,"Gas, Water and Multi-utilities"
MT0001710103,RIVER TECH,RIVER,Technology,Software and Computer Services
NO0006001007,ROGALAND SPAREBANK,ROGS,Financials,Banks
NO0010808405,ROMERIKE SPAREBK,ROMER,,
BMG763301022,ROMREAL,ROM,Real Estate,Real Estate Investment and Services
NO0010759988,ROMSDAL SPAREBANK,ROMSB,Financials,Banks
CY0101550917,S.D. STANDARD ETC,SDSD,Energy,"Oil, Gas and Coal"
NO0010572589,SAGA PURE,SAGA,Industrials,Industrial Transportation
NO0010310956,SALMAR,SALM,Consumer Staples,Food Producers
NO0010892094,SALMON EVOLUTION,SALME,Consumer Staples,Food Producers
NO0010863285,SATS,SATS,Consumer Discretionary,Travel and Leisure
NO0003053308,SCANA,SCANA,Energy,"Oil, Gas and Coal"
NO0010715139,SCATEC,SCATC,Utilities,Electricity
NO0003028904,SCHIBSTED SER. A,SCHA,Technology,Software and Computer Services
NO0010736879,SCHIBSTED SER. B,SCHB,Technology,Software and Computer Services
KYG812291253,Sea1 Offshore,SEA1,Energy,"Oil, Gas and Coal"
CY0101162119,SEABIRD EXPLORAT,SBX,Energy,"Oil, Gas and Coal"
BMG7947V2045,SEACREST PETROLEO,SEAPT,Energy,"Oil, Gas and Coal"
NO0010612450,SELVAAG BOLIG,SBO,Consumer Discretionary,Household Goods and Home Construction
KYG236271055,SHELF DRILLING,SHLF,Energy,"Oil, Gas and Coal"
BMG236541170,SHELF DRILLING NO,SDNS,Energy,"Oil, Gas and Coal"
NO0010931207,SKANDIA GREENPOWER,SKAND,Utilities,Electricity
NO0006001809,SKUE SPAREBANK,SKUE,Financials,Banks
NO0011008971,SMARTCRAFT,SMCRT,Technology,Software and Computer Services
NO0011012502,SMARTOPTICS GROUP,SMOP,Telecommunications,Telecommunications Equipment
NO0010811961,SOFTOX SOLUTIONS,SOFTX,Health Care,Pharmaceuticals and Biotechnology
NO0006000603,SOGN SPAREBANK,SOGN,Financials,Banks
NO0010713571,SOILTECH,STECH,Utilities,"Gas, Water and Multi-utilities"
NO0003080608,SOLSTAD OFFSHORE,SOFF,Energy,"Oil, Gas and Coal"
NO0010887110,SPARBNK 68 GR NORD,SB68,Financials,Banks
NO0006390301,SPAREBANK 1 SMN,MING,Financials,Banks
NO0010631567,SPAREBANK 1 SØR-N,SB1NO,Financials,Banks
NO0012483207,SPAREBANKEN MØRE,MORG,Financials,Banks
NO0006001502,SPAREBANKEN SØR,SOR,Financials,Banks
NO0006000900,SPAREBANKEN VEST,SVEG,Financials,Banks
NO0006222009,SPAREBANKEN ØST,SPOG,Financials,Banks
NO0010691660,SPBK 1 NORDMØRE,SNOR,Financials,Banks
NO0010751910,SPBK 1 ØSTLANDET,SPOL,Financials,Banks
NO0010029804,SPBK1 HELGELAND,HELG,Financials,Banks
NO0006000801,SPBK1 NORD-NORGE,NONG,Financials,Banks
NO0006390400,SPBK1 RINGERIKE,RING,Financials,Banks
NO0010285562,SPBK1 ØSTFOLD AKE,SOAG,Financials,Banks
NO0012548819,SPIR GROUP,SPIR,Technology,Software and Computer Services
NO0010781560,SPOTLIO,SPOT,Consumer Discretionary,Travel and Leisure
NO0012780958,STAINLESS TANKERS,STST,Industrials,Industrial Transportation
NO0013384651,STANDARD SUPPLY,STSU,Industrials,Industrial Transportation
BMG850801025,STOLT-NIELSEN,SNI,Industrials,Industrial Transportation
NO0003053605,STOREBRAND,STB,Financials,Life Insurance
NO0010098247,STRONGPOINT,STRO,Technology,Software and Computer Services
LU0075646355,SUBSEA 7,SUBC,Energy,"Oil, Gas and Coal"
NO0010672900,SUNNDAL SPAREBANK,SUNSB,,
NO0012916131,TECHSTEP,TECH,Technology,Software and Computer Services
NO0010887516,TECO 2030,TECO,Energy,Alternative Energy
NO0010951577,TEKNA HOLDING,TEKNA,Basic Materials,Industrial Materials
NO0010063308,TELENOR,TEL,Telecommunications,Telecommunications Service Providers
NO0003078800,TGS,TGS,Energy,"Oil, Gas and Coal"
NL00150001S5,THE KINGFISH COMP,KING,Consumer Staples,Food Producers
NO0010597883,THOR MEDICAL,TRMED,Health Care,Pharmaceuticals and Biotechnology
FI0009000277,TIETOEVRY,TIETO,Technology,Software and Computer Services
NO0012470089,TOMRA SYSTEMS,TOM,Industrials,Industrial Engineering
NO0010763550,TREASURE,TRE,Financials,Investment Banking and Brokerage Services
NO0010731615,TYSNES SPAREBANK,TYSB,,
NO0010851603,ULTIMOVACS,ULTI,Health Care,Pharmaceuticals and Biotechnology
BMG9551V1081,VANTAGE DRILLING I,VDI,Energy,"Oil, Gas and Coal"
NO0005806802,VEIDEKKE,VEI,Industrials,Construction and Materials
BMG730931091,VENTURA OFFSHORE,VTURA,Energy,"Oil, Gas and Coal"
NO0010734122,VISTIN PHARMA,VISTN,Health Care,Pharmaceuticals and Biotechnology
NO0003025009,VOSS VEKSEL OGLAND,VVL,Financials,Banks
NO0010708068,VOW,VOW,Industrials,Industrial Engineering
NO0011037483,VOW GREEN METALS,VGM,Industrials,Industrial Engineering
NO0011202772,VÅR ENERGI,VAR,Energy,"Oil, Gas and Coal"
NO0010571680,WALLENIUS WILHELMS,WAWI,Industrials,Industrial Transportation
NO0010609662,WEBSTEP,WSTEP,Technology,Software and Computer Services
NO0010768096,WESTERN BULK CHART,WEST,Industrials,Industrial Transportation
NO0010571698,WILH. WILHELMSEN A,WWI,Industrials,Industrial Transportation
NO0010576010,WILH. WILHELMSEN B,WWIB,Industrials,Industrial Transportation
DK0061676400,WPU - WASTE PLASTI,WPU,Utilities,Waste and Disposal Services
NO0010895782,XPLORA TECHNOLOGIE,XPLRA,Consumer Discretionary,Leisure Goods
NO0013293142,XXL,XXL,Consumer Discretionary,Retailers
NO0010208051,YARA INTERNATIONAL,YAR,Basic Materials,Chemicals
NO0010708910,ZALARIS,ZAL,Technology,Software and Computer Services
NO0010713936,ZAPTEC,ZAP,Industrials,Electronic and Electrical Equipment
CA98936C8584,ZENITH ENERGY,ZENA,Energy,"Oil, Gas and Coal"
NO0010721277,ZWIPE,ZWIPE,Industrials,Electronic and Electrical Equipment
NO0013409755,ZWIPE TR,ZWIPT,Industrials,Electronic and Electrical Equipment
